"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003.14",32363.149979778,-0.644140920962958,0.160690062397545,-4.00859213912906,6.10818065074811e-05,0.000249549324642104
"ENSG00000000460.16",23463.4428994071,-0.750695948621725,0.198067865295366,-3.7900946097554,0.000150589916265064,0.000576440756072084
"ENSG00000001036.13",34257.3768357413,2.85586406428866,0.144770605700119,19.7268226548997,1.26899840746833e-86,2.09046762782045e-84
"ENSG00000001167.14",78753.3849314097,-0.332083751078535,0.0900562448996303,-3.68751496854716,0.00022645477640621,0.000839588382735622
"ENSG00000001460.17",5793.40360634903,0.71294482468992,0.194013540803791,3.67471683541374,0.000238113348919202,0.000879827750706638
"ENSG00000001461.16",11061.4093600592,0.833118511806434,0.1715355186067,4.85682801190943,1.19281112925787e-06,6.28560270685283e-06
"ENSG00000001497.16",77080.6385344887,-0.374333516065145,0.0899929238984117,-4.15958833038596,3.18821707533785e-05,0.000136266143629368
"ENSG00000001617.11",12228.205690662,0.45061226515518,0.177994385682177,2.53160942929843,0.0113540382877242,0.0290583248612831
"ENSG00000001629.9",65532.4954481721,0.484591406035534,0.0964492589889847,5.0243144542031,5.05233982209029e-07,2.79962481487092e-06
"ENSG00000001630.15",91389.5909129846,0.312315546161329,0.0948096999462469,3.29413073069949,0.000987265700073663,0.00325599036014234
"ENSG00000002079.12",266.567464261128,2.51936680191395,0.514158286184586,4.89998288388856,9.58450047729739e-07,5.11724909848148e-06
"ENSG00000002330.13",33858.3505200992,0.581447889810099,0.139771582364186,4.15998645772708,3.1826646475807e-05,0.000136046567319064
"ENSG00000002549.12",87112.7492252719,0.411276742575555,0.0884538460183875,4.64961967272808,3.32547683036034e-06,1.65075380758438e-05
"ENSG00000002586.18",1003618.45604171,-0.599500454615065,0.113164468176021,-5.29760325195517,1.17332560626096e-07,7.04984604553644e-07
"ENSG00000002746.14",426.942462373488,2.12400901307346,0.518235174051322,4.09854274550479,4.15759463614794e-05,0.000174267059662705
"ENSG00000002822.15",39968.024875186,0.531211118863532,0.10632349337948,4.99617819147064,5.84776302020053e-07,3.210002801879e-06
"ENSG00000002834.17",239793.779635649,1.38325665495392,0.138323049594774,10.0001891153084,1.5210630222739e-23,3.16996109320934e-22
"ENSG00000002933.7",6621.48374140924,-0.973528629084357,0.200968917762338,-4.84417510888739,1.27138769074981e-06,6.67285162954858e-06
"ENSG00000003096.13",26715.5190652686,-1.04488253569467,0.193998350426769,-5.38603824927418,7.20276411790521e-08,4.44003409765266e-07
"ENSG00000003402.19",88258.7689899991,1.04537900366208,0.155048751464529,6.74226005554927,1.55941640521303e-11,1.43155386714348e-10
"ENSG00000003436.14",184835.835047353,2.19807905801412,0.115002187880314,19.113367306557,1.9544122268498e-81,2.93896979910964e-79
"ENSG00000003756.16",57101.7220941775,0.469829961132752,0.10292584258827,4.56474243317293,5.00107968247221e-06,2.41309087652052e-05
"ENSG00000003987.13",2733.71148852002,0.657726401903897,0.214602530830548,3.06485855203284,0.0021777296479786,0.00666327546388226
"ENSG00000003989.16",28223.5189975689,-2.16113737585849,0.154415852803852,-13.9955667544297,1.65901828575636e-44,8.55124802573351e-43
"ENSG00000004059.10",78146.660643111,0.468725827732728,0.0914750366205818,5.12408461421993,2.98986702631255e-07,1.70310722600483e-06
"ENSG00000004139.13",61971.4801579513,0.329182745536367,0.104353265889335,3.1545035292471,0.00160771433811117,0.00506526587524846
"ENSG00000004142.11",199291.037290832,0.306479783860172,0.0766583357631069,3.99799683634237,6.38808048065906e-05,0.000260012483631693
"ENSG00000004399.12",49775.9669663505,0.669050496847889,0.112188141507804,5.96364720776969,2.46669019345035e-09,1.80618802594794e-08
"ENSG00000004478.7",181812.338006866,-0.526626829097005,0.0876826915839124,-6.0060522730763,1.9009492623013e-09,1.41180151148077e-08
"ENSG00000004487.15",212473.646002353,-0.395228454120792,0.0710454765630794,-5.56303473831833,2.65123087457889e-08,1.72206559402507e-07
"ENSG00000004660.14",15732.0376595451,-1.41813688220262,0.169054924165825,-8.38861623936833,4.91897552870695e-17,6.89119041803724e-16
"ENSG00000004700.15",134137.316381968,0.697971611882014,0.100565092615582,6.94049588906623,3.90725948752143e-12,3.76065121902312e-11
"ENSG00000004766.15",17084.3362584609,-0.589029089912516,0.128208846257097,-4.59429366310135,4.34217534188989e-06,2.11823202467016e-05
"ENSG00000004777.18",13873.6557502861,-0.702947380239675,0.180645184363597,-3.89131535787196,9.97022467014396e-05,0.000394072709352133
"ENSG00000004779.9",79654.2700438995,-0.478508481818558,0.0754192429094011,-6.34464711338161,2.22935863678018e-10,1.82069842628121e-09
"ENSG00000004799.7",177.332418799067,2.6278352306115,1.11744484706458,2.35164647053014,0.0186905294417696,0.044870958342006
"ENSG00000004848.7",20378.9376544878,-3.09759128393991,0.27592366038959,-11.2262619289925,3.03029181964689e-29,8.37597187450795e-28
"ENSG00000004864.13",39938.6980511482,0.744541559128537,0.141026749102555,5.27943502822366,1.29582816863511e-07,7.74331735767339e-07
"ENSG00000004975.11",58989.8925361529,-0.49104384050163,0.116189720274617,-4.22622448303547,2.37644924707985e-05,0.000103928440792118
"ENSG00000005001.9",48.1969173716256,8.8224230743208,2.63729654121113,3.34525258591863,0.000822076672840064,0.00275077242921741
"ENSG00000005020.12",1098.32531677732,1.18472225710427,0.242254241624384,4.89040872580955,1.00626811407917e-06,5.35859020723575e-06
